ordinal,exact_distance_htm,classification,frozen_sequence_13,frozen_sequence_sha256,proof_route
1,13,EXACT13,L' B' D2 L' R2 B R D R' D2 F2 L2 F',7fb077b2b9c42283191c5e7df3b9f0981dfdcaefd056ac4982d7bf6bff57587d,REMOTE_16_STATE_FINAL_CLASSIFICATION
2,13,EXACT13,L R' B' L' F B R' B D L F2 L B',70a0d11af2c6b21e69179a8f3776eac95450fdae846d39301a376c904d842e21,V5_8_EDGE12_TO_CONFLICT13
3,13,EXACT13,U2 D2 L R2 B' U D2 R' U' F2 L' B2 D2,3b02734e1242c1719a4af024872be5e180461d99fdd46fc7add91a86fa722cd5,REMOTE_16_STATE_FINAL_CLASSIFICATION
4,13,EXACT13,U2 B2 L' D2 L U L' U B' U R' D2 B',c42adb621027e99b9da454c3af32ada0bdf82a2415a163258406344ed089a088,CURRENT_17_FULL_RADIUS6_NO_LE12_PLUS_FROZEN_13_MOVE_UPPER_BOUND
5,13,EXACT13,L2 D' L' U' L' F2 U D2 R D' F' R' U',37c09b125d4976edabfda5c7d29d8983e92f5903606b41766d9367ba8e830c77,CURRENT_17_FULL_RADIUS6_NO_LE12_PLUS_FROZEN_13_MOVE_UPPER_BOUND
6,13,EXACT13,R' B2 L2 U2 D L2 B2 R B2 D F' L' U2,b248317e3ab09ba4239d97b579e812f1f935da683b7ea796318a6248021beaa7,REMOTE_16_STATE_FINAL_CLASSIFICATION
7,12,EXACT12,R2 U F' L D L2 R U2 L R2 U2 R2 B2,31b1d37318a64360e3051ada912ca89c407586576273ad85019cb8759e3d89bc,CURRENT_17_RADIUS6_WITNESS_PLUS_LB12_PREDECESSOR
8,13,EXACT13,L' U2 B2 R' D L F2 R F R F' B U,fc76c5e5b4476ab5e968d9cae38e4be19afd956f8ab960888de8952e3ad1057f,REMOTE_16_STATE_FINAL_CLASSIFICATION
9,12,EXACT12,F D2 B' U D L2 F B' D' F2 B2 L2 F2,897dbf296c2d776408cc304ff96dfe4b4afc3d56a75ae5485859256a0046f01d,CURRENT_17_RADIUS6_WITNESS_PLUS_LB12_PREDECESSOR
10,13,EXACT13,R' F R2 D2 R2 U2 F2 L2 B2 U' B2 L2 U2,f7d66114b146237a4d2b331e32a57f3220ba3038bd8a882d091a4f7f6880f0f6,CURRENT_17_FULL_RADIUS6_NO_LE12_PLUS_FROZEN_13_MOVE_UPPER_BOUND
11,13,EXACT13,U L' U F2 L' R B2 U' D F' B D' R',364b89992a702c3e79df72def84a75394b1436307570b693440b6f754a708360,CURRENT_17_FULL_RADIUS6_NO_LE12_PLUS_FROZEN_13_MOVE_UPPER_BOUND
12,13,EXACT13,F R' B2 U' D' B2 L2 U2 D' B' L' B' U',8fbcb117afb42ae81eb256a50ac1cf4cd7ba20720f1b6f30190a8bc9e99836c0,REMOTE_16_STATE_FINAL_CLASSIFICATION
13,13,EXACT13,B' R2 D2 B' R B' U R U' D' R B2 R,c1aab0ede46d73f4709a8e2ab800ac03d4325ec3e93916d83676975a6d71376b,REMOTE_16_STATE_FINAL_CLASSIFICATION
14,13,EXACT13,U F' L' B' D' B' D R F' L' B2 L2 D2,386f5860dab5110901deb3efd76418861fe8320dbf1f73fc375fad2c4124a0d9,REMOTE_16_STATE_FINAL_CLASSIFICATION
15,13,EXACT13,B' D2 F' L' F' U2 D' L R' B2 D' R2 U2,6b5605acef68fbacd00b55a8c7e81717e8954de1ce3a39ea0001a0484242a114,V5_8_EDGE12_TO_CONFLICT13
16,13,EXACT13,U' F' B' R2 B L' D' R' B2 L D B2 D2,a8d5f6776a940547b4f70caf808f1176a97958afe77263517ea50c7779c590e8,REMOTE_16_STATE_FINAL_CLASSIFICATION
17,13,EXACT13,U' F2 U D' B2 R B2 R2 B2 D R U R',be493af0f559bdeb40a093e4d753c8beb98e0e6f34835465e523ce0ff0472fa8,CURRENT_17_FULL_RADIUS6_NO_LE12_PLUS_FROZEN_13_MOVE_UPPER_BOUND
18,13,EXACT13,F' L' D2 R' B U' F D2 F' L R' U R',e640f2284427f3fccc837b7ebece1fd5b208853e82c13941ce2398021a737a69,CURRENT_17_FULL_RADIUS6_NO_LE12_PLUS_FROZEN_13_MOVE_UPPER_BOUND
